Company Name,Company Page URL,Engagement Level,Organic Impressions,Organic Engagements,Paid Impressions,Paid Clicks,Paid Engagements,Paid Conversions,Paid Leads,Paid Qualified Leads
"DTU - Technical University of Denmark",https://www.linkedin.com/company/technical-university-of-denmark,Very Low,,,210,,,,,
"StudentConsulting",https://www.linkedin.com/company/studentconsulting,Very High,351,349,209,3,10,,,
"Röda Korset",https://www.linkedin.com/company/swedish-red-cross,Very High,213,217,208,4,25,,,
"Partille kommun",https://www.linkedin.com/company/partille-kommun,Very High,87,88,207,,9,,,
"Amirkabir University of Technology - Tehran Polytechnic",https://www.linkedin.com/company/amirkabir-university-of-technology---tehran-polytechnic,Very Low,,,205,,,,,
"Nobina Sverige AB",https://www.linkedin.com/company/nobina-sverige-ab,Very High,469,500,205,4,24,,,
"Laholms Kommun",https://www.linkedin.com/company/laholms-kommun,Very High,121,128,204,3,13,,,
"Skåne Stadsmission",https://www.linkedin.com/company/skane-stadsmission,Very High,181,184,204,8,33,,,
"DSV - Global Transport and Logistics",https://www.linkedin.com/company/dsv,Very High,404,415,204,,12,,,
"Båstads kommun",https://www.linkedin.com/company/b-stads-kommun,Very High,131,109,201,4,19,,,
"Osby kommun",https://www.linkedin.com/company/osby,Very High,114,115,199,3,20,,,
"E.ON",https://www.linkedin.com/company/e-on,Very High,326,350,198,6,16,,,
"Boozt",https://www.linkedin.com/company/boozt-fashion,Very High,260,260,197,,6,,,
"Värnamo kommun",https://www.linkedin.com/company/varnamo-kommun,Very High,192,217,195,,5,,,
"Skolinspektionen",https://www.linkedin.com/company/skolinspektionen,Very High,167,150,195,3,18,,,
"Expology - Making Experience Matter",https://www.linkedin.com/company/expology,Very Low,,,195,,,,,
"Innovation Skåne",https://www.linkedin.com/company/innovation-skane,Very High,139,125,194,,17,,,
"Edukatus Alliance AB",https://www.linkedin.com/company/edukatus-alliance,Very High,125,125,193,7,19,,,
"VR City Traffic Sweden",https://www.linkedin.com/company/vr-sverige,Very High,199,190,192,4,7,,,
